season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_college_corner_left,flag_invalid_id,height_wo_shoes_m,height_w_shoes_m,weight_kg,wingspan_m,standing_reach_m,standing_vertical_leap_cm,max_vertical_leap_cm,player_name_clean,position_all,position_main,fat_mass_kg,fat_free_mass_kg
2001,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259.0,84.5,7' 0.5'',107.0,8' 11'',12.4,,,28.5,31.0,11.9,,3.4,16.0,,False,2.1,,117.5,2.1,2.7,72.4,78.7,Adam Allenspach,C,C,14.57,102.93
2001,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199.0,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,,31.5,36.0,,,3.25,12.0,,False,1.9,,90.3,2.1,2.5,80.0,91.4,Gilbert Arenas,SG,SG,4.79,85.51
2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188.0,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,,30.0,37.0,10.91,,3.2,6.0,,False,1.9,,85.3,2.1,2.5,76.2,94.0,Brandon Armstrong,SG,SG,7.93,77.37
2001,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229.0,82.5,6' 10.5'',105.0,8' 9'',9.3,,,29.5,33.0,10.95,,3.3,12.0,,False,2.0,,103.9,2.1,2.7,74.9,83.8,Shane Battier,SF-PF,SF,9.66,94.24
2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206.0,80.5,6' 8.5'',99.0,8' 3'',5.3,,,35.0,41.5,11.26,,2.91,7.0,,False,1.9,,93.4,2.0,2.5,88.9,105.4,Cookie Belcher,SG-PG,SG,4.95,88.45
2001,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200.0,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,,31.5,38.0,10.59,,3.12,15.0,,False,1.9,,90.7,2.0,2.5,80.0,96.5,Charlie Bell,PG,PG,6.08,84.62
2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245.0,88.0,7' 4'',111.0,9' 3'',6.0,,,26.5,31.0,11.84,,3.33,6.0,,False,2.1,,111.1,2.2,2.8,67.3,78.7,Ruben Boumtje Boumtje,C,C,6.67,104.43
2001,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214.0,83.5,6' 11.5'',104.0,8' 8'',8.6,,,28.5,34.5,11.96,,3.21,7.0,,False,2.1,,97.1,2.1,2.6,72.4,87.6,Calvin Bowman,PF,PF,8.35,88.75
2001,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227.0,85.5,7' 1.5'',107.0,8' 11'',9.3,,,27.0,30.0,11.11,,3.35,13.0,,False,2.1,,103.0,2.2,2.7,68.6,76.2,Michael Bradley,PF,PF,9.58,93.42
2001,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178.0,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,,26.0,32.5,9.65,,3.15,12.0,,False,1.9,,80.7,2.1,2.6,66.0,82.6,Jamison Brewer,PG,PG,5.41,75.29
