Date,Team,name_clean,Status,InjuryCategory
1952-12-26,Knicks,Max Zaslofsky,Relinquished,Muscular
1961-11-26,Lakers,Elgin Baylor,Relinquished,Other
1962-03-24,Lakers,Elgin Baylor,Acquired,Other
1962-03-31,Lakers,Elgin Baylor,Acquired,Other
1962-11-14,Zephyrs,Al Ferrari,Relinquished,Knee
1969-10-15,Bucks,Bob Greacen,Relinquished,Ankle/Foot
1970-01-24,Bucks,Guy Rodgers,Relinquished,Muscular
1972-11-04,Cavaliers,Rick Roberson,Relinquished,Muscular
1973-11-17,Kings,Mike D'Antoni,Relinquished,Arm/Hand
1974-03-27,Bucks,Lucius Allen,Relinquished,Knee
1974-10-16,Bucks,Kareem Abdul Jabbar,Relinquished,Arm/Hand
1974-10-28,Knicks,Melvin Davis,Relinquished,Arm/Hand
1974-11-07,Spirits (ABA),Bernie Fryer,Relinquished,Muscular
1974-11-14,Knicks,Melvin Davis,Acquired,Other
1974-11-21,Colonels (ABA),Ted Mcclain,Relinquished,Muscular
1974-12-05,Hawks,Lou Hudson,Relinquished,Arm/Hand
1975-01-23,Spirits (ABA),Mike Barr,Relinquished,Illness
1976-12-15,Bulls,Jack Marin,Relinquished,Muscular
1977-01-12,Jazz,Gail Goodrich,Relinquished,Ankle/Foot
1977-10-18,Lakers,Kareem Abdul Jabbar,Relinquished,Arm/Hand
1977-11-10,Lakers,Don Chaney,Relinquished,Arm/Hand
1978-02-10,Celtics,Tom Boswell,Relinquished,Arm/Hand
1978-10-01,Cavaliers,Elmore Smith,Relinquished,Knee
1979-01-13,Pistons,Ben Poquette,Relinquished,Ankle/Foot
1979-01-14,Celtics,Nate Archibald,Relinquished,Illness
1979-10-10,Jazz,Carl Kilpatrick,Relinquished,Knee
1979-10-11,Knicks,Earl Monroe,Relinquished,Back
1979-10-11,Knicks,Marvin Webster,Relinquished,Knee
1979-10-11,Pistons,Earl Evans,Relinquished,Ankle/Foot
1979-11-11,Jazz,Bernard King,Relinquished,Ankle/Foot
1980-01-22,Cavaliers,Michael Russell,Relinquished,Knee
1980-10-08,Clippers,Bill Walton,Relinquished,Ankle/Foot
1980-10-09,76ers,Andrew Toney,Relinquished,Ankle/Foot
1980-10-09,Hawks,Tom Burleson,Relinquished,Arm/Hand
1980-10-09,Knicks,Hollis Copeland,Relinquished,Knee
1980-10-09,Knicks,Toby Knight,Relinquished,Knee
1980-11-10,Jazz,John Duren,Relinquished,Knee
1980-11-21,76ers,Doug Collins,Relinquished,Knee
1980-12-21,Pistons,John Long,Relinquished,Knee
1981-01-18,Jazz,Rickey Green,Relinquished,Arm/Hand
1982-10-26,Mavericks,Corny Thompson,Relinquished,Back
1982-10-28,Bucks,Charlie Criss,Relinquished,Back
1982-10-28,Bullets,Kevin Grevey,Relinquished,Muscular
1982-10-28,Knicks,Michael Russell,Relinquished,Knee
1982-10-28,Knicks,Toby Knight,Relinquished,Knee
1982-10-28,Pistons,Tom Owens,Relinquished,Arm/Hand
1982-11-10,Bucks,Harvey Catchings,Relinquished,Knee
1982-11-26,Pistons,Kelly Tripucka,Relinquished,Knee
1982-11-28,Pistons,Kent Benson,Relinquished,Knee
1982-12-10,Bucks,Steve Mix,Relinquished,Ankle/Foot
1982-12-26,Bucks,Brian Winters,Relinquished,Muscular
1983-01-07,Blazers,Darnell Valentine,Relinquished,Ankle/Foot
1983-01-18,Spurs,Ed Rains,Relinquished,Knee
1983-02-16,Lakers,Ed Jordan,Relinquished,Muscular
1983-02-17,Pistons,Kent Benson,Relinquished,Knee
1983-03-02,Bulls,Orlando Woolridge,Relinquished,Knee
1983-03-03,Blazers,Pete Verhoeven,Relinquished,Knee
1983-03-06,Bulls,Ronnie Lester,Relinquished,Knee
1983-04-16,Lakers,Ed Jordan,Relinquished,Ankle/Foot
1983-10-28,Kings,Mike Woodson,Relinquished,Knee
1983-10-31,Warriors,Ron Brewer,Relinquished,Arm/Hand
1983-11-01,Nets,Clarence Walker,Relinquished,Ankle/Foot
1983-11-08,Bucks,Charlie Criss,Relinquished,Ankle/Foot
1983-11-16,Suns,James Edwards,Relinquished,Arm/Hand
1983-11-24,Suns,Paul Westphal,Relinquished,Muscular
1983-12-01,Warriors,Ron Brewer,Relinquished,Arm/Hand
1983-12-04,Suns,Rick Robey,Relinquished,Knee
1984-01-01,Blazers,Darnell Valentine,Relinquished,Arm/Hand
1984-01-03,Spurs,Johnny Moore,Relinquished,Arm/Hand
1984-01-07,Lakers,Larry Spriggs,Relinquished,Back
1984-01-10,Warriors,Eric Floyd,Relinquished,Ankle/Foot
1984-01-19,Warriors,Russell Cross,Relinquished,Knee
1984-02-02,76ers,Leo Rautins,Relinquished,Ankle/Foot
1984-02-13,Sonics,Clay Johnson,Relinquished,Knee
1984-02-18,Pacers,Herb Williams,Relinquished,Ankle/Foot
1984-03-02,Lakers,Calvin Garrett,Relinquished,Knee
1984-03-31,Kings,Joe Meriweather,Relinquished,Ankle/Foot
1984-10-12,Kings,Ed Nealy,Relinquished,Muscular
1984-10-23,Lakers,Earl Jones,Relinquished,Ankle/Foot
1984-10-23,Nets,Clarence Walker,Relinquished,Knee
1984-10-25,Nets,Albert King,Relinquished,Back
1984-10-25,Pacers,Clark Kellogg,Relinquished,Knee
1984-11-06,Pistons,Dan Roundfield,Relinquished,Muscular
1984-11-08,Knicks,Eddie Lee Wilkins,Relinquished,Ankle/Foot
1984-11-24,Pistons,Kelly Tripucka,Relinquished,Muscular
1984-11-26,Knicks,Bill Cartwright,Relinquished,Ankle/Foot
1984-11-27,Lakers,Earl Jones,Relinquished,Ankle/Foot
1984-12-12,Nets,Albert King,Relinquished,Muscular
1984-12-14,Kings,Larry Drew,Relinquished,Ankle/Foot
1984-12-29,Rockets,Allen Leavell,Relinquished,Ankle/Foot
1985-01-10,Pacers,Bill Garnett,Relinquished,Arm/Hand
1985-01-14,Bulls,Caldwell Jones,Relinquished,Arm/Hand
1985-02-07,Jazz,Mitchell Anderson,Relinquished,Muscular
1985-02-11,Bucks,Mike Dunleavy,Relinquished,Back
1985-02-13,Bullets,Frank Johnson,Relinquished,Ankle/Foot
1985-02-17,Clippers,Bill Walton,Relinquished,Ankle/Foot
1985-02-20,Celtics,Cedric Maxwell,Relinquished,Knee
1985-03-02,Clippers,Jay Murphy,Relinquished,Knee
1985-03-19,Suns,Larry Nance,Relinquished,Muscular
1985-03-23,Nets,Otis Birdsong,Relinquished,Arm/Hand
1985-03-25,Pacers,Bill Garnett,Relinquished,Arm/Hand
1985-04-11,Bucks,Kenny Fields,Relinquished,Ankle/Foot
1985-10-08,Sonics,Tim Mccormick,Relinquished,Knee
1985-10-22,Cavaliers,Keith Lee,Relinquished,Muscular
1985-10-22,Cavaliers,Lonnie Shelton,Relinquished,Knee
1985-10-24,Knicks,Bill Cartwright,Relinquished,Ankle/Foot
1985-10-24,Lakers,Ronnie Lester,Relinquished,Knee
1985-10-28,Spurs,Tyrone Corbin,Relinquished,Knee
1985-10-29,Suns,Bernard Thompson,Relinquished,Ankle/Foot
1985-10-31,Hawks,Glenn Rivers,Relinquished,Arm/Hand
1985-11-05,Bulls,Michael Jordan,Relinquished,Ankle/Foot
1985-11-12,Lakers,Byron Scott,Relinquished,Muscular
1985-12-04,76ers,Sedale Threatt,Relinquished,Muscular
1985-12-17,Kings,Otis Thorpe,Relinquished,Knee
1986-01-05,Clippers,Derek Smith,Relinquished,Knee
1986-02-27,Bucks,Earl Jones,Relinquished,Ankle/Foot
1986-03-05,Bulls,Dave Corzine,Relinquished,Arm/Hand
1986-04-09,Bucks,Derrick Rowland,Relinquished,Knee
1986-09-13,Kings,Franklin Edwards,Relinquished,Ankle/Foot
1986-10-12,Suns,William Bedford,Relinquished,Knee
1986-10-30,Bullets,Ennis Whatley,Relinquished,Arm/Hand
1986-10-30,Bullets,Jay Vincent,Relinquished,Arm/Hand
1986-10-30,Bulls,Gene Banks,Relinquished,Ankle/Foot
1986-10-30,Rockets,Ralph Sampson,Relinquished,Ankle/Foot
1986-10-30,Knicks,Jawann Oldham,Relinquished,Back
1986-11-02,Clippers,Darnell Valentine,Relinquished,Arm/Hand
1986-11-17,Bucks,Scott Skiles,Relinquished,Ankle/Foot
1986-11-20,Nets,Darryl Dawkins,Relinquished,Back
1986-11-21,Warriors,Purvis Short,Relinquished,Knee
1986-11-26,Cavaliers,Carlton Mccray,Relinquished,Knee
1986-12-08,Rockets,Robert Reid,Relinquished,Knee
1986-12-29,Pacers,Ron Anderson,Relinquished,Knee
1987-01-05,76ers,Andrew Toney,Relinquished,Ankle/Foot
1987-01-08,Bucks,Paul Pressey,Relinquished,Arm/Hand
1987-01-09,Bucks,Paul Pressey,Relinquished,Arm/Hand
1987-01-09,Bulls,Sedale Threatt,Relinquished,Arm/Hand
1987-01-23,76ers,Kenny Green,Relinquished,Ankle/Foot
1987-01-23,Cavaliers,John Bagley,Relinquished,Ankle/Foot
1987-01-28,76ers,Jeff Ruland,Relinquished,Knee
1987-02-01,Kings,Kings,Relinquished,Ankle/Foot
1987-02-13,Hawks,Scott Hastings,Relinquished,Knee
1987-02-13,Hawks,Wayne Rollins,Relinquished,Ankle/Foot
1987-03-05,Suns,Grant Gondrezick,Relinquished,Knee
1987-03-21,Knicks,Patrick Ewing,Relinquished,Knee
1987-03-23,Suns,William Bedford,Relinquished,Knee
1987-03-26,Warriors,Purvis Short,Relinquished,Muscular
1987-04-03,Sonics,Alton Lister,Relinquished,Ankle/Foot
1987-10-31,Clippers,Lancaster Gordon,Relinquished,Knee
1987-11-01,Suns,Bernard Thompson,Relinquished,Ankle/Foot
1987-11-01,Suns,Larry Nance,Relinquished,Arm/Hand
1987-11-03,Celtics,Bill Walton,Relinquished,Ankle/Foot
1987-11-03,Celtics,Kevin Mchale,Relinquished,Ankle/Foot
1987-11-03,Kings,Franklin Edwards,Relinquished,Ankle/Foot
1987-11-03,Knicks,Louis Orr,Relinquished,Back
1987-11-05,Blazers,Jim Paxson Jr.,Relinquished,Ankle/Foot
1987-11-12,Spurs,Mike Mitchell,Relinquished,Knee
1987-11-15,Suns,Armon Gilliam,Relinquished,Ankle/Foot
1987-11-30,Bucks,Jerry Reynolds,Relinquished,Ankle/Foot
1987-11-30,Knicks,Bob Thornton,Relinquished,Ankle/Foot
1987-11-30,Knicks,Trent Tucker,Relinquished,Knee
1987-12-01,Suns,Eddie Johnson,Relinquished,Muscular
1987-12-04,Bucks,Larry Krystkowiak,Relinquished,Ankle/Foot
1987-12-13,Lakers,Jeff Lamp,Relinquished,Arm/Hand
1987-12-16,Bucks,Pace Mannion,Relinquished,Knee
1987-12-17,Celtics,Greg Kite,Relinquished,Back
1988-01-02,Bucks,John Stroeder,Relinquished,Knee
1988-01-09,Clippers,Reggie Williams,Relinquished,Knee
1988-01-14,Bucks,Larry Krystkowiak,Relinquished,Ankle/Foot
1988-01-17,Blazers,Kiki Vandeweghe,Relinquished,Back
1988-01-28,Blazers,Steve Johnson,Relinquished,Arm/Hand
1988-01-30,Cavaliers,Johnny Rogers,Relinquished,Ankle/Foot
1988-02-23,Cavaliers,Kent Benson,Relinquished,Arm/Hand
1988-02-26,Suns,Craig Hodges,Relinquished,Ankle/Foot
1988-02-27,Nets,Orlando Woolridge,Relinquished,Other
1988-02-29,Blazers,Kiki Vandeweghe,Relinquished,Back
1988-03-02,76ers,Andrew Toney,Relinquished,Ankle/Foot
1988-03-19,Clippers,Reggie Williams,Relinquished,Knee
1988-04-01,Kings,Lasalle Thompson,Relinquished,Knee
1988-04-04,Suns,Jeff Cook,Relinquished,Back
1988-10-21,Jazz,Bobby Hansen,Relinquished,Arm/Hand
1988-11-02,Nuggets,Bill Hanzlik,Relinquished,Back
1988-11-02,Nuggets,Maurice Martin,Relinquished,Knee
1988-11-03,Pacers,Steve Stipanovich,Relinquished,Knee
1988-12-16,Hornets,Rex Chapman,Relinquished,Back
1988-12-31,Heat,Sylvester Gray,Relinquished,Arm/Hand
1989-01-02,Nuggets,Jay Vincent,Relinquished,Ankle/Foot
1989-01-12,Pistons,Joe Dumars,Relinquished,Arm/Hand
1989-02-14,Hawks,Dudley Bradley,Relinquished,Knee
1989-03-09,Celtics,Ramon Rivas,Relinquished,Back
1989-03-10,Bucks,Mark Davis,Relinquished,Back
1989-03-10,Bucks,Tito Horford,Relinquished,Ankle/Foot
1989-03-21,Bucks,Paul Pressey,Relinquished,Ankle/Foot
1989-11-25,Kings,Ralph Sampson,Relinquished,Knee
1989-12-16,Kings,Pervis Ellison,Relinquished,Other
1990-01-02,Cavaliers,Wayne Rollins,Relinquished,Knee
1990-01-17,Clippers,Ron Harper,Relinquished,Knee
1990-03-25,Bulls,Craig Hodges,Relinquished,Back
1990-10-31,Kings,Anthony Bonner,Relinquished,Ankle/Foot
1990-11-13,Clippers,Danny Manning,Relinquished,Knee
1990-11-16,Suns,Ian Lockhart,Relinquished,Knee
1990-11-21,Cavaliers,John Williams,Relinquished,Ankle/Foot
1990-11-28,Kings,Steve Colter,Relinquished,Ankle/Foot
1990-12-06,Timberwolves,Bob Thornton,Relinquished,Arm/Hand
1990-12-18,Kings,Bobby Hansen,Relinquished,Knee
1990-12-22,Nuggets,Orlando Woolridge,Relinquished,Surgery
1991-01-09,Sonics,Quintin Dailey,Relinquished,Muscular
1991-01-14,Kings,Wayman Tisdale,Relinquished,Ankle/Foot
1991-01-14,Rockets,Hakeem Olajuwon,Relinquished,Surgery
1991-01-21,Hornets,Randolph Keys,Relinquished,Arm/Hand
1991-01-21,Hornets,Rex Chapman,Relinquished,Ankle/Foot
1991-01-22,Pacers,Rik Smits,Relinquished,Back
1991-01-25,Pistons,Isiah Thomas,Relinquished,Arm/Hand
1991-02-03,Spurs,Rod Strickland,Relinquished,Arm/Hand
1991-02-11,Nuggets,Todd Lichti,Relinquished,Knee
1991-02-26,Cavaliers,Derrick Chievous,Relinquished,Back
1991-02-28,Kings,Ralph Sampson,Relinquished,Ankle/Foot
1991-03-04,Celtics,Dave Popson,Relinquished,Ankle/Foot
1991-04-02,Rockets,Dave Feitl,Relinquished,Ankle/Foot
1991-04-02,Spurs,Dwayne Schintzius,Relinquished,Back
1991-04-18,Bullets,Charles Jones,Relinquished,Muscular
1991-04-20,Cavaliers,Brad Daugherty,Relinquished,Arm/Hand
1991-10-29,Blazers,Ennis Whatley,Relinquished,Ankle/Foot
1991-11-07,Bulls,Craig Hodges,Relinquished,Knee
1991-11-17,Bulls,Bill Cartwright,Relinquished,Arm/Hand
1992-01-02,Pistons,Bob Mccann,Relinquished,Ankle/Foot
1992-01-29,Blazers,Lamont Strothers,Relinquished,Arm/Hand
1992-02-13,Kings,Dwayne Schintzius,Relinquished,Back
1992-11-05,Celtics,Kenny Battle,Relinquished,Arm/Hand
1992-11-05,Celtics,Marcus Webb,Relinquished,Muscular
1992-11-13,Kings,Anthony Webb,Relinquished,Arm/Hand
1992-11-18,Celtics,Ed Pinckney,Relinquished,Knee
1992-12-02,Bulls,Corey Williams,Relinquished,Muscular
1992-12-04,Blazers,Jerome Kersey,Relinquished,Knee
1992-12-23,Hawks,Dominique Wilkins,Relinquished,Arm/Hand
1992-12-30,Blazers,Clyde Drexler,Relinquished,Knee
1993-01-08,Bulls,Scott Williams,Relinquished,Knee
1993-01-12,Blazers,Delaney Rudd,Relinquished,Knee
1993-01-18,Bulls,Rodney Mccray,Relinquished,Knee
1993-03-23,Blazers,Kevin Duckworth,Relinquished,Knee
1993-11-04,Clippers,Henry James,Relinquished,Knee
1993-11-04,Magic,Anthony Cook,Relinquished,Knee
1994-01-16,Pacers,Vern Fleming,Relinquished,Muscular
1994-02-25,Lakers,Antonio Harvey,Relinquished,Back
1994-02-26,76ers,Shawn Bradley,Relinquished,Knee
1994-10-27,Warriors,Chris Mullin,Relinquished,Knee
1994-11-01,Nuggets,Laphonso Ellis,Relinquished,Knee
1994-11-02,Celtics,Pervis Ellison,Relinquished,Knee
1994-11-02,Heat,Keith Askins,Relinquished,Ankle/Foot
1994-11-02,Magic,Greg Grant,Relinquished,Muscular
1994-11-02,Mavericks,Roy Tarpley,Relinquished,Knee
1994-11-02,Pacers,Damon Bailey,Relinquished,Knee
1994-11-02,Pacers,Scott Haskin,Relinquished,Back
1994-11-03,Blazers,Negele Knight,Relinquished,Ankle/Foot
1994-11-03,Blazers,Terry Porter,Relinquished,Ankle/Foot
1994-11-03,Bullets,Jim Mcilvaine,Relinquished,Ankle/Foot
1994-11-03,Bullets,Kenny Walker,Relinquished,Knee
1994-11-03,Bulls,Bill Wennington,Relinquished,Ankle/Foot
1994-11-03,Bulls,Jud Buechler,Relinquished,Knee
