season,player_id,player_name_clean,position_all,position_main,height_wo_shoes_m,height_w_shoes_m,weight_kg,wingspan_m,standing_reach_m,body_fat_pct,standing_vertical_leap_cm,max_vertical_leap_cm,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,fat_mass_kg,fat_free_mass_kg
2001,0,Adam Allenspach,C,C,"2,1",0,"117,5","2,1","2,7","12,4","72,4","78,7","11,9",0,"3,4",16,"14,57","102,93"
2001,2240,Gilbert Arenas,SG,SG,"1,9",0,"90,3","2,1","2,5","5,3",80,"91,4",0,0,"3,25",12,"4,79","85,51"
2001,2220,Brandon Armstrong,SG,SG,"1,9",0,"85,3","2,1","2,5","9,3","76,2",94,"10,91",0,"3,2",6,"7,93","77,37"
2001,2203,Shane Battier,SF-PF,SF,2,0,"103,9","2,1","2,7","9,3","74,9","83,8","10,95",0,"3,3",12,"9,66","94,24"
2001,0,Cookie Belcher,SG-PG,SG,"1,9",0,"93,4",2,"2,5","5,3","88,9","105,4","11,26",0,"2,91",7,"4,95","88,45"
2001,0,Charlie Bell,PG,PG,"1,9",0,"90,7",2,"2,5","6,7",80,"96,5","10,59",0,"3,12",15,"6,08","84,62"
2001,2257,Ruben Boumtje Boumtje,C,C,"2,1",0,"111,1","2,2","2,8",6,"67,3","78,7","11,84",0,"3,33",6,"6,67","104,43"
2001,0,Calvin Bowman,PF,PF,"2,1",0,"97,1","2,1","2,6","8,6","72,4","87,6","11,96",0,"3,21",7,"8,35","88,75"
2001,2214,Michael Bradley,PF,PF,"2,1",0,103,"2,2","2,7","9,3","68,6","76,2","11,11",0,"3,35",13,"9,58","93,42"
2001,2249,Jamison Brewer,PG,PG,"1,9",0,"80,7","2,1","2,6","6,7",66,"82,6","9,65",0,"3,15",12,"5,41","75,29"
2001,2198,Kwame Brown,PF-C,PF,"2,1",0,"110,2","2,2","2,7","8,9","76,2","83,8","11,59",0,"3,45",17,"9,81","100,39"
2001,0,Sirvaliant Brown,PG,PG,"1,8",0,"79,8","1,9","2,3","6,7","78,7","100,3","11,23",0,3,10,"5,35","74,45"
2001,0,Damone Brown,SF,SF,2,0,"91,6","2,1","2,7","6,7","81,3",94,"11,81",0,"3,27",6,"6,14","85,46"
2001,0,Ryan Carroll,SF-SG,SF,"1,9",0,"91,6",2,"2,5",8,"87,6","99,1",11,0,"3,1",14,"7,33","84,27"
