injury_id,date_id,player_id,main_injury_category_id,secondary_injury_category_id,injury_category_text,status
1,19521226,78638,9,0,Muscular,Relinquished
2,19611126,76127,10,0,Other,Relinquished
3,19620324,76127,10,0,Other,Acquired
4,19620331,76127,10,0,Other,Acquired
5,19621114,76708,8,0,Knee,Relinquished
6,19691015,76865,1,2,Ankle/Foot,Relinquished
7,19721104,77973,9,0,Muscular,Relinquished
8,19731117,76505,3,4,Arm/Hand,Relinquished
9,19740327,76027,8,0,Knee,Relinquished
10,19741016,76003,3,4,Arm/Hand,Relinquished
11,19741107,76761,9,0,Muscular,Relinquished
12,19741205,77074,3,4,Arm/Hand,Relinquished
13,19750123,76112,7,0,Illness,Relinquished
14,19770112,76832,1,2,Ankle/Foot,Relinquished
15,19771018,76003,3,4,Arm/Hand,Relinquished
16,19771110,76379,3,4,Arm/Hand,Relinquished
17,19780210,76213,3,4,Arm/Hand,Relinquished
18,19781001,78188,8,0,Knee,Relinquished
19,19790113,77873,1,2,Ankle/Foot,Relinquished
20,19790114,76054,7,0,Illness,Relinquished
21,19791010,77258,8,0,Knee,Relinquished
22,19791011,76685,1,2,Ankle/Foot,Relinquished
23,19791111,77264,1,2,Ankle/Foot,Relinquished
24,19801009,76305,3,4,Arm/Hand,Relinquished
25,19801009,76447,8,0,Knee,Relinquished
26,19801009,77289,8,0,Knee,Relinquished
27,19801009,78351,1,2,Ankle/Foot,Relinquished
28,19801110,76619,8,0,Knee,Relinquished
29,19801121,76421,8,0,Knee,Relinquished
30,19801221,1381,8,0,Knee,Relinquished
31,19810118,76874,3,4,Arm/Hand,Relinquished
32,19821026,78325,5,0,Back,Relinquished
33,19821028,76471,5,0,Back,Relinquished
34,19821028,77289,8,0,Knee,Relinquished
35,19821028,77786,3,4,Arm/Hand,Relinquished
36,19821110,76365,8,0,Knee,Relinquished
37,19821126,78369,8,0,Knee,Relinquished
38,19821128,76154,8,0,Knee,Relinquished
39,19821210,77618,1,2,Ankle/Foot,Relinquished
40,19821226,78600,9,0,Muscular,Relinquished
41,19830107,78395,1,2,Ankle/Foot,Relinquished
42,19830118,77904,8,0,Knee,Relinquished
43,19830217,76154,8,0,Knee,Relinquished
44,19830306,77373,8,0,Knee,Relinquished
45,19831028,78614,8,0,Knee,Relinquished
46,19831031,76249,3,4,Arm/Hand,Relinquished
47,19831108,76471,1,2,Ankle/Foot,Relinquished
48,19831124,78500,9,0,Muscular,Relinquished
