name,year_start,year_end,birth_date,college,player_name_clean,height_m,weight_kg,age_at_debut,age_at_last_season,position_all,position_main,BMI,body_fat_pct_est,fat_mass_kg,lean_mass_kg
Alaa Abdelnaby,1991,1995,1968-06-24,Duke University,Alaa Abdelnaby,2.1,108.9,23,27,F/C,F,24.7,19.6,21.3,87.6
Zaid Abdul-Aziz,1969,1978,1946-04-07,Iowa State University,Zaid Abdulaziz,2.1,106.6,23,32,C/F,C,24.2,20.2,21.5,85.1
Kareem Abdul-Jabbar,1970,1989,1947-04-16,"University of California, Los Angeles",Kareem Abduljabbar,2.2,102.1,23,42,C,C,21.1,18.8,19.2,82.9
Mahmoud Abdul-Rauf,1991,2001,1969-03-09,Louisiana State University,Mahmoud Abdulrauf,1.9,73.5,22,32,G,G,20.4,15.6,11.5,62.0
Tariq Abdul-Wahad,1998,2003,1974-11-03,San Jose State University,Tariq Abdulwahad,2.0,101.2,24,29,F,F,25.3,20.8,21.0,80.2
Shareef Abdur-Rahim,1997,2008,1976-12-11,University of California,Shareef Abdurrahim,2.1,102.1,21,32,F,F,23.2,19.0,19.4,82.7
Tom Abernethy,1977,1981,1954-05-06,Indiana University,Tom Abernethy,2.0,99.8,23,27,F,F,25.0,20.0,20.0,79.8
Forest Able,1957,1957,1932-07-27,Western Kentucky University,Forest Able,1.9,81.6,25,25,G,G,22.6,16.7,13.6,68.0
John Abramovic,1947,1948,1919-02-09,Salem International University,John Abramovic,1.9,88.5,28,29,F,F,24.5,19.9,17.6,70.9
Alex Abrines,2017,2018,1993-08-01,Unknown,Alex Abrines,2.0,86.2,24,25,G/F,G,21.6,15.5,13.4,72.8
Alex Acker,2006,2009,1983-01-21,Pepperdine University,Alex Acker,2.0,83.9,23,26,G,G,21.0,15.0,12.6,71.3
Don Ackerman,1954,1954,1930-09-04,Long Island University,Don Ackerman,1.8,83.0,24,24,G,G,25.6,20.0,16.6,66.4
Mark Acres,1988,1993,1962-11-15,Oral Roberts University,Mark Acres,2.1,99.8,26,31,F/C,F,22.6,18.0,18.0,81.8
Bud Acton,1968,1968,1942-01-11,Hillsdale College,Bud Acton,2.0,95.3,26,26,F,F,23.8,18.3,17.4,77.9
Quincy Acy,2013,2018,1990-10-06,Baylor University,Quincy Acy,2.0,108.9,23,28,F,F,27.2,22.9,24.9,84.0
Alvan Adams,1976,1988,1954-07-19,University of Oklahoma,Alvan Adams,2.1,95.3,22,34,C/F,C,21.6,17.5,16.7,78.6
Don Adams,1971,1977,1947-11-27,Northwestern University,Don Adams,2.0,95.3,24,30,F,F,23.8,19.3,18.4,76.9
George Adams,1973,1975,1949-05-15,Gardner-Webb University,George Adams,2.0,95.3,24,26,F/G,F,23.8,18.3,17.4,77.9
Hassan Adams,2007,2009,1984-06-20,University of Arizona,Hassan Adams,1.9,99.8,23,25,G,G,27.6,22.7,22.7,77.1
Jordan Adams,2015,2016,1994-07-08,"University of California, Los Angeles",Jordan Adams,2.0,94.8,21,22,G,G,23.7,17.3,16.4,78.4
Michael Adams,1986,1996,1963-01-19,Boston College,Michael Adams,1.8,73.5,23,33,G,G,22.7,18.6,13.7,59.8
Steven Adams,2014,2018,1993-07-20,University of Pittsburgh,Steven Adams,2.1,115.7,21,25,C,C,26.2,21.0,24.3,91.4
Rafael Addison,1987,1997,1964-07-22,Syracuse University,Rafael Addison,2.0,97.5,23,33,F/G,F,24.4,20.7,20.2,77.3
Bam Adebayo,2018,2018,1997-07-18,University of Kentucky,Bam Adebayo,2.1,110.2,21,21,C/F,C,25.0,18.6,20.5,89.7
Rick Adelman,1969,1975,1946-06-16,Loyola Marymount University,Rick Adelman,1.9,79.4,23,29,G,G,22.0,16.9,13.4,66.0
Jeff Adrien,2011,2015,1986-02-10,University of Connecticut,Jeff Adrien,2.0,111.1,25,29,F,F,27.8,23.8,26.4,84.7
Arron Afflalo,2008,2018,1985-10-15,"University of California, Los Angeles",Arron Afflalo,2.0,95.3,23,33,G,G,23.8,20.0,19.1,76.2
Maurice Ager,2007,2011,1984-02-09,Michigan State University,Maurice Ager,2.0,91.6,23,27,G,G,22.9,17.5,16.0,75.6
Mark Aguirre,1982,1994,1959-12-10,DePaul University,Mark Aguirre,2.0,105.2,23,35,F/G,F,26.3,23.4,24.6,80.6
Blake Ahearn,2008,2012,1984-05-27,Missouri State University,Blake Ahearn,1.9,86.2,24,28,G,G,23.9,18.9,16.3,69.9
Danny Ainge,1982,1995,1959-03-17,Brigham Young University,Danny Ainge,1.9,79.4,23,36,G,G,22.0,18.5,14.7,64.7
Matthew Aitch,1968,1968,1944-09-21,Michigan State University,Matthew Aitch,2.0,104.3,24,24,F,F,26.1,20.6,21.5,82.8
