season_sk   season_name
----------- --------------------
0           Unknown
1           1999-00
2           1997-98
3           1956-57
4           1963-64
5           1972-73
6           2002-03
7           2016-17
8           2021-22
9           2012-13
10          1981-82
11          1965-66
12          1991-92
13          1980-81
14          1987-88
15          1947-48
16          1952-53
17          1969-70
18          1962-63
19          2013-14
20          1951-52
21          2014-15
22          2010-11
23          1966-67
24          2023-24
25          1986-87
26          1971-72
27          1958-59
28          1974-75
29          2005-06
30          1983-84
31          1996-97
32          1960-61
33          1955-56
34          2000-01
35          2019-20
36          1950-51
37          1970-71
38          1976-77
39          2006-07
40          2017-18
41          2015-16
42          1973-74
43          1967-68
44          1993-94
45          1961-62
46          1948-49
47          2007-08
48          2004-05
49          1959-60
50          1992-93
51          1964-65
52          1979-80
53          1957-58
54          1977-78
55          1946-47
56          2011-12
57          2022-23
58          1954-55
59          1982-83
60          2003-04
61          2001-02
62          1990-91
63          1989-90
64          1994-95
65          1984-85
66          1975-76
67          2009-10
68          2008-09
69          1985-86
70          1978-79
71          1998-99
72          2020-21
73          1949-50
74          2018-19
75          1988-89
76          1953-54
77          1968-69
78          1995-96
79          Unknown Season

(80 rows affected)


Completion time: 2025-09-25T09:52:19.0178669-03:00
